DEV_KEY,en,EN-UK,DE,PL,PT(BR),ES(MX),ES-ES,ID,SE,RU,FR,IT
hurricane_pressure_mbar,%@ mbar,%@ mbar,%@ mbar,%@ mbar,%@ mbar,%@ mbar,%@ mbar,%@ mbar,%@ mbar,,,
hurricane_card_move_speed,Movement speed,Movement speed,Bewegungsgeschwindigkeit,Prędkość ruchu,Vel. de movimento,Vel. del movimiento,Vel. de movimiento,Kecepatan pergerakan,Rörelsehastighet,,,
hurricane_card_max_wind_speed,Wind speed,Wind speed,Windgeschwindigkeit,Prędkość wiatru,Velocidade do vento,Velocidad del viento,Velocidad del viento,Kecepatan angin,Vindhastighet,Скорость ветра,Vitesse du vent,
hurricane_wind_speed_mph,%@ mph,%@ mph,%@ mph,%@ mph,%@ mi/h,%@ mph,%@ mi/h,%@ mpj,%@ mph,%@ мили в час/миль в час,%@ mi/h,
hurricane_wind_speed_kmh,%@ km/h,%@ km/h,%@ km/h,%@ km/h,%@ km/h,%@ km/h,%@ km/h,%@ km/j,%@ km/h,%@ км/ч,%@ km/h,
hurricane_wind_speed_ms,%@ m/s,%@ m/s,%@ m/s,%@ m/s,%@ m/s,%@ m/s,%@ m/s,%@ m/dtk,%@ m/s,%@ м/с,%@ m/s,
hurricane_wind_speed_knot,%@ knots,%@ knots,%@ Knoten,%@ węzły,%@ nós,%@ nudos,%@ nudos,%@ knot,%@ knop,%@ узлы,%@ nœuds,
hurricane_distance_miles,%@ miles,%@ miles,%@ Meilen,%@ mil(e),%@ milhas,%@ millas,%@ millas,%@ mil,%@ miles,%@ мили,%@ miles,
hurricane_distance_kilometers,%@ km,%@ km,%@ km,%@ km,%@ km,%@ km,%@ kilómetros,%@ km,%@ km,%@ км,%@ km,
hurricane_no_info,-,-,-,-,-,-,-,-,-,,,
hurricane_card_observed_on,Observed on %@,Observed on %@,Beobachtet am %@,Zaobserwowano %@,Observado em %@,Observación %@,Observado el %@,Diamati pada %@,Observerat %@,,,
hurricane_card_forecast_for,Forecast for %@,Forecast for %@,Prognose für %@,Prognoza dla %@,Previsão para %@,Pronóstico para %@,Pronóstico para %@,Prakiraan untuk %@,Prognos för %@,,,
settings_pressure,Pressure,Pressure,Druck,Ciśnienie,Pressão,Presión,Presión,Tekanan,Tryck,,,
settings_millibar,mbar,mbar,mbar,mbar,mbar,mbar,mbar,mbar,mbar,,,
settings_inches_of_mercury,inches,inches,Zoll,cale,polegadas,pulgadas,pulgadas,inci,tum,,,
settings_millimeters_of_mercury,mm,mm,mm,mm,mm,mm,mm,mm,mm,,,
subscription_hurricane_proposition_title,Get Hurricane Tracker,Get Hurricane Tracker,Hurrikan-Tracker holen,Włącz Monitor huraganów,Obter Rastreador de Furacões,Obtén Hurricane Tracker,Obtener Rastreador de huracanes,Dapatkan Pelacak Topan,Hämta Orkanspårare,,,
subscription_hurricane_proposition_description,Upgrade to premium for unlimited access to all pro features. No ads!,Upgrade to premium for unlimited access to all pro features. No ads!,Upgraden Sie auf Premium für unbegrenzten Zugriff auf alle Pro-Funktionen. Keine Werbung!,"Uaktualnij do wersji premium, żeby uzyskać nieograniczony dostęp do wszystkich funkcji pro. Zero reklam!",Faça o upgrade para o premium para ter acesso ilimitado a todos as funcionalidades Pro. Sem anúncios!,Actualice al modo Premium para tener acceso ilimitado a todas las funciones profesionales ¡Sin publicidad!,Mejora a prémium para obtener acceso ilimitado a todas las funciones pro. ¡Sin anuncios!,Tingkatkan ke premium untuk akses tanpa batas ke semua fitur pro. Tanpa iklan!,Uppgradera till premium för obegränsad tillgång till alla pro-funktioner. Inga annonser!,,,
notifications_hurricane_invest_title,Invest Formation,Invest Formation,Bildung eines Wirbelsturmentstehungsgebiets,Formacja obszaru burzowego,Formação de área de investigação,Formación de Inversión Meteorológica,Formación de Invest,Formasi Investasi,,,,
notifications_hurricane_invest_body,Invest has formed.,Invest has formed.,Es hat sich ein Invest gebildet.,Uformował się obszar burzowy.,Uma Área de Investigação foi formada.,Se formó una invest.,Se ha formado un invest.,Bibit telah terbentuk.,En invest har bildats.,,,
notifications_hurricane_invest_with_name_basin_body,Invest %@ has formed in %@.,Invest %@ has formed in %@.,In %@ hat sich das Wetterentstehungsgebiet %@ gebildet.,Formacja obszaru burzowego %@: %@.,Uma Área de Investigação %@ formou-se em %@.,La Inversión Meteorológica %@ se ha formado en %@.,Invest %@ se ha formado en %@.,Investasi %@ telah terbentuk di %@.,,,,
notifications_hurricane_invest_with_name_body,Invest %@ has formed.,Invest %@ has formed.,In %@ hat sich das Wetterentstehungsgebiet.,Formacja obszaru burzowego %@.,Uma Área de Investigação %@ formou-se.,La Inversión Meteorológica %@ se ha formado.,Invest %@ se ha formado.,Investasi %@ telah terbentuk.,En invest har bildats i %@.,,,
notifications_hurricane_invest_with_basin_body,Invest has formed in %@.,Invest has formed in %@.,Es hat sich ein Invest in %@ gebildet.,Formacja obszaru burzowego: %@.,Uma Área de Investigação foi formada em %@.,Se formó una invest. en %@.,Se ha formado un invest en %@.,Bibit telah terbentuk di %@.,En invest har bildats i %@.,,,
notifications_hurricane_type_change_tropical_depression_title,Tropical Depression Formation,Tropical Depression Formation,Bildung eines tropischen Tiefdruckgebiets,Formacja depresji tropikalnej,Formação de depressão tropical,Formación de Depresión Tropical,Formación de depresiones tropicales,Formasi Depresi Tropis,,,,
notifications_hurricane_type_change_tropical_depression_upgrade_body,Tropical Depression has formed.,,Es hat sich ein tropisches Tiefdruckgebiet gebildet.,Uformowała się depresja tropikalna.,Um ciclone tropical se formou.,Se formó una depresión tropical.,Se ha formado una depresión tropical.,Depresi Tropis telah terbentuk.,Ett tropiskt lågtryck har bildats.,,,
notifications_hurricane_type_change_tropical_depression_upgrade_name_basin_body,Tropical Depression %@ has formed in %@.,Tropical Depression %@ has formed in %@.,In %@ hat sich das tropische Tiefdruckgebiet %@ gebildet.,Formacja depresji tropikalnej %@: %@.,Uma Depressão Tropical %@ formou-se em %@.,La Depresión Tropical %@ se ha formado en %@.,La depresión tropical %@ se ha formado en %@.,Depresi Tropis %@ telah terbentuk di %@.,,,,
notifications_hurricane_type_change_tropical_depression_upgrade_name_body,Tropical Depression %@ has formed.,Tropical Depression %@ has formed.,Es hat sich ein tropisches Tiefdruckgebiet %@ gebildet.,Uformowała się depresja tropikalna %@.,O ciclone tropical %@ se formou.,Se formó la depresión tropical %@.,Se ha formado la depresión tropical %@.,Depresi Tropis %@ telah terbentuk.,Det tropiska lågtrycket %@ har bildats.,,,
notifications_hurricane_type_change_tropical_depression_upgrade_basin_body,Tropical Depression has formed in %@.,Tropical Depression has formed in %@.,Es hat sich ein tropisches Tiefdruckgebiet in %@ gebildet.,Formacja depresji tropikalnej: %@.,O ciclone tropical se formou em %@.,Se formó una depresión tropical en %@.,Se ha formado una depresión tropical en %@.,Depresi Tropis telah terbentuk di %@.,Ett tropiskt lågtryck har bildats i %@.,,,
notifications_hurricane_type_change_tropical_storm_upgrade_title,Tropical Storm Formation,Tropical Storm Formation,Bildung eines Tropensturms,Formacja burzy tropikalnej,Formação de tempestade tropical,Formación de Tormenta Tropical,Formación de tormentas tropicales,Formasi Badai Tropis,,,,
notifications_hurricane_type_change_tropical_storm_upgrade_invest_body,Tropical storm has formed.,Tropical storm has formed.,Es hat sich ein Tropensturm gebildet.,Uformowała się burza tropikalna.,Uma tempestade tropical se formou.,Se formó una tormenta tropical.,Se ha formado una tormenta tropical.,Badai tropis telah terbentuk.,En tropisk storm har bildats.,,,
notifications_hurricane_type_change_tropical_storm_upgrade_invest_name_basin_body,Tropical storm %@ has formed in %@.,Tropical storm %@ has formed in %@.,Es hat sich ein Tropensturm %@ in %@ gebildet.,Formacja burzy tropikalnej %@: %@.,A tempestade tropical %@ se formou em %@.,Se formó la tormenta tropical %@ en %@.,La tormenta tropical %@ se ha formado en %@.,Badai tropis %@ telah terbentuk di %@.,Den tropiska stormen %@ har bildats i %@.,,,
notifications_hurricane_type_change_tropical_storm_upgrade_invest_name_body,Tropical storm %@ has formed.,Tropical storm %@ has formed.,Es hat sich ein Tropensturm %@ gebildet.,Uformowała się burza tropikalna %@.,A tempestade tropical %@ se formou.,Se formó la tormenta tropical %@.,Se ha formado la tormenta tropical %@.,Badai tropis %@ telah terbentuk.,Den tropiska stormen %@ har bildats.,,,
notifications_hurricane_type_change_tropical_storm_upgrade_invest_basin_body,Tropical storm has formed in %@.,Tropical storm has formed in %@.,Es hat sich ein Tropensturm in %@ gebildet.,Formacja burzy tropikalnej: %@.,A tempestade tropical se formou em %@.,Se formó una tormenta tropical en %@.,Se ha formado una tormenta tropical en %@.,Badai tropis telah terbentuk di %@.,En tropisk storm har bildats i %@.,,,
notifications_hurricane_type_change_tropical_storm_upgrade_body,Tropical depression has been upgraded to a Tropical storm.,Tropical depression has been upgraded to a Tropical storm.,Das tropische Tiefdruckgebiet wurde auf einen Tropensturm hochgestuft.,Depresja tropikalna ma teraz wyższą kategorię: Burza tropikalna.,O ciclone tropical foi atualizado para uma tempestade tropical.,La depresión tropical se convirtió en tormenta tropical.,La depresión tropical ha ascendido a tormenta tropical.,Depresi tropis telah ditingkatkan menjadi Badai tropis.,Ett tropiskt lågtryck har uppgraderats till en tropisk storm.,,,
notifications_hurricane_type_change_tropical_storm_upgrade_name_body,%@ has been upgraded to a Tropical storm.,%@ has been upgraded to a Tropical storm.,%@ wurde auf einen Tropensturm hochgestuft.,%@ ma teraz wyższą kategorię: Burza tropikalna.,%@ foi atualizado para uma tempestade tropical.,%@ se convirtió en una tormenta tropical.,%@ se ha convertido en tormenta tropical.,%@ telah ditingkatkan menjadi Badai tropis.,%@ har uppgraderats till en tropisk storm.,,,
notifications_hurricane_type_change_hurricane_upgrade_title,Hurricane Alert,Hurricane Alert,Wirbelsturmwarnung,Ostrzeżenie o huraganie,Alerta de furacão,Alerta de Huracán,Alerta de huracán,Peringatan Badai,,,,
notifications_hurricane_category_change_upgraded_body,Hurricane has been upgraded.,Hurricane has been upgraded to Category %@ Hurricane.,Der Wirbelsturm wurde hochgestuft.,Huragan ma teraz wyższą kategorię.,Foi atualizado para um furacão.,El huracán ascendió de categoría.,El huracán ha subido de categoría.,Topan telah ditingkatkan.,Orkanen har uppgraderats.,,,
notifications_hurricane_category_change_upgraded_category_body,Hurricane has been upgraded to Category %@ Hurricane.,Hurricane has been upgraded to Category %@ Hurricane.,Der Wirbelsturm wurde auf einen Wirbelsturm der Kategorie %@ hochgestuft.,Huragan ma teraz wyższą kategorię: Huragan %@ kategorii.,O furacão foi atualizado para a categoria %@ de furacões.,El huracán ascendió a huracán de categoría %@.,El huracán ha ascendido a la categoría %@.,Topan telah ditingkatkan menjadi Topan Kategori %@.,Orkanen har uppgraderats till en kategori %@-orkan.,,,
notifications_hurricane_category_change_upgraded_name_body,Hurricane %@ has been upgraded.,Hurricane %@ has been upgraded.,Der Wirbelsturm %@ wurde hochgestuft.,Huragan %@ ma teraz wyższą kategorię.,O furacão %@ foi atualizado.,El huracán %@ ascendió de categoría.,El huracán %@ ha subido de categoría.,Topan %@ telah ditingkatkan.,Orkanen %@ har uppgraderats.,,,
notifications_hurricane_category_change_upgraded_name_category_body,%@ has been upgraded to Category %@ Hurricane.,%@ has been upgraded to Category %@ Hurricane.,%@ wurde auf einen Wirbelsturm der Kategorie %@ hochgestuft.,%@ ma teraz wyższą kategorię: Huragan %@ kategorii.,%@ foi atualizado para a categoria %@ de furacões.,%@ ascendió a huracán de categoría %@.,%@ ha ascendido a la categoría %@.,%@ telah ditingkatkan menjadi Topan Kategori %@.,%@ har uppgraderats till en kategori %@-orkan.,,,
notifications_hurricane_type_change_hurricane_downgrade_title,%@: Category Change,Hurricane has been downgraded to Category %@ Hurricane.,%@: Kategorieänderung,%@: zmiana kategorii,%@: Mudança de categoria,%@: Cambio de categoría,%@: cambio de categoría,%@: Perubahan Kategori,,,,
notifications_hurricane_category_change_downgraded_body,Hurricane has been downgraded.,Hurricane has been downgraded.,Der Wirbelsturm wurde heruntergestuft.,Huragan ma teraz niższą kategorię.,O furacão foi rebaixado.,El huracán bajó de categoría.,El huracán ha bajado de categoría.,Topan telah diturunkan.,Orkanen har nedgraderats.,,,
notifications_hurricane_category_change_downgraded_category_body,Hurricane has been downgraded to Category %@ Hurricane.,Hurricane has been downgraded to Category %@ Hurricane.,Der Wirbelsturm wurde auf einen Wirbelsturm der Kategorie %@ heruntergestuft.,Huragan ma teraz niższą kategorię: Huragan %@ kategorii.,O furacão foi rebaixado para a categoria %@ de furacões.,El huracán bajó a huracán de categoría %@.,El huracán ha bajado a la categoría %@.,Topan telah diturunkan menjadi Topan Kategori %@.,Orkanen har nedgraderats till en kategori %@-orkan.,,,
notifications_hurricane_category_change_downgraded_name_body,Hurricane %@ has been downgraded.,Hurricane %@ has been downgraded.,Der Wirbelsturm %@ wurde heruntergestuft.,Huragan %@ ma teraz niższą kategorię.,O furacão %@ foi rebaixado.,El huracán %@ bajó de categoría.,El huracán %@ ha bajado de categoría.,Topan %@ telah diturunkan.,Orkanen %@ har nedgraderats.,,,
notifications_hurricane_category_change_downgraded_name_category_body,%@ has been downgraded to Category %@ Hurricane.,%@ has been downgraded to Category %@ Hurricane.,%@ wurde auf einen Wirbelsturm der Kategorie %@ heruntergestuft.,%@ ma teraz niższą kategorię: Huragan %@ kategorii.,%@ foi rebaixado para a categoria %@ de furacões.,%@ bajó a huracán de categoría %@.,%@ ha bajado a la categoría %@.,%@ telah diturunkan menjadi Topan Kategori %@.,%@ har nedgraderats till en kategori %@-orkan.,,,
notifications_hurricane_type_change_tropical_storm_downgrade_hurricane_body,Hurricane has been downgraded to Tropical Storm.,Hurricane has been downgraded to Tropical Storm.,Der Wirbelsturm wurde auf einen Tropensturm heruntergestuft.,Huragan ma teraz niższą kategorię: Burza tropikalna.,O furacão foi rebaixado para uma tempestade tropical.,El huracán fue degradado a tormenta tropical.,El huracán ha bajado a la categoría tormenta tropical.,Topan telah diturunkan menjadi Badai Tropis.,Orkanen har nedgraderats till en tropisk storm.,,,
notifications_hurricane_type_change_tropical_storm_downgrade_name_body,%@ has been downgraded to Tropical Storm.,%@ has been downgraded to Tropical Storm.,%@ wurde heruntergestuft auf einen Tropensturm.,%@ ma teraz niższą kategorię: Burza tropikalna.,%@ foi rebaixado para Tempestade Tropical.,%@ se ha degradado a Tormenta Tropical.,%@ se ha degradado a tormenta tropical.,%@ telah diturunkan menjadi Badai Tropis.,,,,
notifications_hurricane_type_change_tropical_storm_downgrade_title,Tropical Storm Alert,Tropical Storm Alert,Tropensturmwarnung,Ostrzeżenie o burzy tropikalnej,Alerta de tempestade tropical,Alerta de Tormenta Tropical,Alerta de tormenta tropical,Peringatan Badai Tropis,,,,
notifications_hurricane_type_change_tropical_depression_downgrade_tropical_storm_body,Tropical Storm has been downgraded to Tropical Depression.,Tropical Storm has been downgraded to Tropical Depression.,Der Tropensturm wurde auf ein tropisches Tiefdruckgebiet heruntergestuft.,Burza tropikalna ma teraz niższą kategorię: Depresja tropikalna.,A tempestade tropical foi rebaixada para um ciclone tropical.,La tormenta tropical fue degradada a depresión tropical.,La tormenta tropical ha bajado a la categoría depresión tropical.,Badai Tropis telah diturunkan menjadi Depresi Tropis.,Den tropiska stormen har nedgraderats till ett tropiskt lågtryck.,,,
notifications_hurricane_type_change_tropical_depression_downgrade_hurricane_body,Hurricane has been downgraded to Tropical Depression.,Hurricane has been downgraded to Tropical Depression.,Der Wirbelsturm wurde auf ein tropisches Tiefdruckgebiet heruntergestuft.,Huragan ma teraz niższą kategorię: Depresja tropikalna.,O furacão foi rebaixado para um ciclone tropical.,El huracán fue degradado a depresión tropical.,El huracán ha bajado a la categoría depresión tropical.,Topan telah diturunkan menjadi Depresi Tropis.,Orkanen har nedgraderats till ett tropiskt lågtryck.,,,
notifications_hurricane_type_change_tropical_depression_downgrade_name_body,%@ has been downgraded to Tropical Depression.,%@ has been downgraded to Tropical Depression.,%@ wurde heruntergestuft auf ein tropisches Tiefdruckgebiet.,%@ ma teraz niższą kategorię: Depresja tropikalna.,%@ foi rebaixado para Depressão Tropical.,%@ se ha degradado a Depresión Tropical.,%@ se ha degradado a depresión tropical.,%@ telah diturunkan ke Depresi Tropis.,,,,
notifications_hurricane_tap_to_see_details_body,Tap to see details,Tap to see details,Tippen Sie für weitere Details,"Stuknij, aby zobaczyć szczegóły",Toque para ver os detalhes,Pulse para ver los detalles,Toca para ver los detalles,Ketuk untuk melihat detailnya,,,,
notifications_hurricane_stay_informed_body,Stay Informed,Stay Informed,Bleiben Sie auf dem Laufenden,Bądź na bieżąco,Fique informado(a),Mantente informado,Mantente informado,Tetap terinformasi,,,,
notifications_hurricane_stay_safe_body,Stay Safe,Stay Safe,Bleiben Sie sicher,Uważaj na siebie,Proteja-se,Ponte a salvo,Manténgase a salvo,Berhati-hatilah,,,,
notifications_hurricane_open_the_app_body,Open the app,Open the app,Öffnen Sie die App,Otwórz aplikację,Abra o aplicativo,Abrir la aplicación,Abre la aplicación,Buka aplikasi,,,,
notifications_hurricane_stay_updated_body,Stay updated,Stay updated,Bleiben Sie auf dem Laufenden,Bądź na bieżąco,Fique por dentro,Manténgase al día,Mantente actualizado,Tetap perbarui,,,,
notifications_hurricane_keep_track_of_hurricane_strength_body,Keep track of a hurricane’s strength,Keep track of a hurricane’s strength,Behalten Sie die Stärke des Wirbelsturms im Auge,Monitoruj siłę huraganu,Monitore a força de um furacão,Manténgase al tanto de la fuerza de un huracán,Seguimiento de la fuerza de un huracán,Melacak kekuatan badai,,,,
notifications_hurricane_direction_body,Direction: %@.,Direction: %@.,Richtung: %@.,Kierunek: %@.,Direção: %@.,Dirección: %@.,Dirección: %@.,Arah: %@.,,,,
notifications_hurricane_wind_speed_body,Wind speed: %@.,Wind speed: %@.,Windgeschwindigkeit: %@.,Prędkość wiatru: %@.,Velocidade do vento: %@.,Velocidad del viento: %@.,Velocidad del viento: %@.,Kecepatan angin: %@.,,,,
notifications_hurricane_observation_time_body,Observation time: %@.,Observation time: %@.,Beobachtungszeitpunkt: %@.,Czas obserwacji: %@.,Tempo de observação: %@.,Tiempo de observación: %@.,Hora de observación: %@.,Waktu pengamatan: %@.,,,,
notifications_hurricane_category_change_title,Hurricane Category Change,Hurricane Category Change,Änderung der Wirbelsturmkategorie,Zmiana kategorii huraganu,Alteração da categoria do furacão,Cambio de categoría de huracán,Cambio de categoría del huracán,Perubahan Kategori Topan,Ändring av orkankategori,,,
notifications_hurricane_category_change_name_title,%@: Category Change,%@: Category Change,%@: Kategorieänderung,%@: zmiana kategorii,%@: Mudança de categoria,%@: Cambio de categoría,%@: cambio de categoría,%@: Perubahan Kategori,,,,
notifications_hurricane_expire_title,Severe weather update,Severe weather update,Unwetter-Update,Aktualizacja dotycząca groźnej pogody,Atualização de clima severo,Actualización sobre el mal clima,Actualización sobre el mal tiempo,Pembaruan cuaca buruk,,,,
notifications_hurricane_expire_tropical_storm_body,Tropical Storm has expired.,Tropical Storm has expired.,Der Tropensturm ist abgelaufen.,Burza tropikalna wygasła.,A tempestade tropical se extinguiu.,La tormenta tropical cesó.,La tormenta tropical ha finalizado.,Badai Tropis telah kedaluwarsa.,Den tropiska stormen har upphört.,,,
notifications_hurricane_expire_tropical_storm_name_body,Tropical Storm %@ has expired.,Tropical Storm %@ has expired.,Der Tropensturm %@ ist abgelaufen.,Burza tropikalna %@ wygasła.,A tempestade tropical %@ se extinguiu.,La tormenta tropical %@ cesó.,La tormenta tropical %@ ha finalizado.,Badai Tropis %@ telah kedaluwarsa.,Den tropiska stormen %@ har upphört.,,,
notifications_hurricane_expire_tropical_depression_body,Tropical Depression has expired.,Tropical Depression has expired.,Das tropische Tiefdruckgebiet ist abgelaufen.,Depresja tropikalna wygasła.,O ciclone tropical se extinguiu.,La depresión tropical cesó.,La depresión tropical ha finalizado.,Depresi Tropis telah kedaluwarsa.,Det tropiska lågtrycket har upphört.,,,
notifications_hurricane_expire_tropical_depression_name_body,Tropical Depression %@ has expired.,Tropical Depression %@ has expired.,Das tropische Tiefdruckgebiet %@ ist abgelaufen.,Depresja tropikalna %@ wygasła.,O ciclone tropical %@ se extinguiu.,La depresión tropical %@ cesó.,La depresión tropical %@ ha finalizado.,Depresi Tropis %@ telah kedaluwarsa.,Det tropiska lågtrycket %@ har upphört.,,,
notifications_hurricane_expire_hurricane_body,Hurricane has expired.,Hurricane has expired.,Der Wirbelsturm ist abgelaufen.,Huragan wygasł.,O furacão se extinguiu.,El huracán cesó.,El huracán ha finalizado.,Topan telah kedaluwarsa.,Orkanen har upphört.,,,
notifications_hurricane_expire_hurricane_name_body,Hurricane %@ has expired.,Hurricane %@ has expired.,Der Wirbelsturm %@ ist abgelaufen.,Huragan %@ wygasł.,O furacão %@ se extinguiu.,El huracán %@ cesó.,El huracán %@ ha finalizado.,Topan %@ telah kedaluwarsa.,Orkanen %@ har upphört.,,,
notifications_hurricane_australia_basin,the Australian basin,the Australian basin,das australische Becken,basen australijski,a bacia australiana,la cuenca Australiana,la cuenca australiana,cekungan Australia,Australiens avrinningsområde,,,
notifications_hurricane_east_pacific_basin,the East Pacific basin,the East Pacific basin,das ostpazifische Becken,basen wschodniopacyficzny,a bacia do Pacífico Leste,la cuenca del Pacífico Oriental,la cuenca del Pacífico oriental,cekungan Pasifik Timur,östra Stilla havets avrinningsområde,,,
notifications_hurricane_north_atlantic_basin,the North Atlantic basin,the North Atlantic basin,das nordatlantische Becken,basen północnoatlantycki,a bacia do Atlântico Norte,la cuenca del Atlántico Norte,la cuenca del Atlántico norte,cekungan Atlantik Utara,norra Atlantens avrinningsområde,,,
notifications_hurricane_north_indian_basin,the North Indian basin,the North Indian basin,das nordindische Becken,basen północnoindyjski,a bacia do norte da Índia,cuenca del Índico Norte,la cuenca del norte de la India,cekungan India Utara,norra Indiska oceanens avrinningsområde,,,
notifications_hurricane_south_atlantic_basin,the South Atlantic basin,the South Atlantic basin,das südatlantische Becken,basen południowoatlantycki,a bacia do Atlântico Sul,cuenca del Atlántico Sur,la cuenca del Atlántico Sur,cekungan Atlantik Selatan,södra Atlantens avrinningsområde,,,
notifications_hurricane_south_indian_basin,the South Indian basin,the South Indian basin,das südindische Becken,basen południowoindyjski,a bacia do sul da Índia,cuenca del Índico Sur,la cuenca del sur de la India,cekungan India Selatan,södra Indiska oceanens avrinningsområde,,,
notifications_hurricane_south_pacific_basin,the South Pacific basin,the South Pacific basin,das südpazifische Becken,basen południowopacyficzny,a bacia do Pacífico Sul,cuenca del Pacífico Sur,la cuenca del Pacífico Sur,cekungan Pasifik Selatan,södra Stilla havets avrinningsområde,,,
notifications_hurricane_west_pacific_basin,the West Pacific basin,the West Pacific basin,das westpazifische Becken,basen zachodniopacyficzny,a bacia do Pacífico Ocidental,cuenca del Pacífico Oeste,la cuenca del Pacífico occidental,cekungan Pasifik Barat,västra Stilla havets avrinningsområde,,,
notifications_hurricane_direction_north,N,N,N,P,N,N,N,U,N,,,
notifications_hurricane_direction_north_east,NE,NE,NO,PW,NE,NL,NE,UT,NÖ,,,
notifications_hurricane_direction_north_west,NW,NW,NW,PZ,NO,NO,NO,UB,NV,,,
notifications_hurricane_direction_south,S,S,S,P,S,S,S,S,S,,,
notifications_hurricane_direction_south_east,SE,SE,SO,PW,SE,SL,SE,ST,SÖ,,,
notifications_hurricane_direction_south_west,SW,SW,SW,PZ,SO,SO,SO,SB,SV,,,
notifications_hurricane_direction_west,W,W,W,Z,O,O,O,B,V,,,
notifications_hurricane_direction_east,E,E,O,W,E,L,E,T,Ö,,,
notifications_hurricane_wind_speed_mph,%@ mph,%@ mph,%@ mph,%@ mph,%@ mi/h,%@ mph,%@ mi/h,%@ mpj,%@ mph,%@ мили в час/миль в час,%@ mi/h,
notifications_hurricane_wind_speed_kmh,%@ km/h,%@ km/h,%@ km/h,%@ km/h,%@ km/h,%@ km/h,%@ km/h,%@ km/j,%@ km/h,%@ км/ч,%@ km/h,
notifications_hurricane_wind_speed_ms,%@ m/s,%@ m/s,%@ m/s,%@ m/s,%@ m/s,%@ m/s,%@ m/s,%@ m/dtk,%@ m/s,%@ м/с,%@ m/s,
notifications_hurricane_wind_speed_knot,%@ knots,%@ knots,%@ Knoten,%@ węzły,%@ nós,%@ nudos,%@ nudos,%@ knot,%@ knop,%@ узлы,%@ nœuds,
subscription_screen_description_paid_price_week,%@/week,%@/week,%@ /Woche,%@/ tydzień,%@/sem ,%@/sem,%@/sem,%@/pekan,%@/vecka,,,
subscription_screen_description_weekly,Join Rainbow.ai Premium for only %@/week. Cancel anytime.,Join Rainbow.ai Premium for only %@/week. Cancel anytime.,Werden Sie Mitglied von Rainbow.ai-Premium für nur %@ $/Woche. Jederzeit kündbar.,Dołącz do  Rainbow.ai Premium za jedyne %@/ tydzień. Anuluj w dowolnym momencie.,Obtenha o Rainbow.ai Premium por apenas %@/sem. Cancele a qualquer momento.,Únase a Rainbow.ai Premium por solo %@/sem. Cancele en cualquier momento.,Únase a Rainbow.ai Premium por solo %@/sem. Cancele en cualquier momento.,,,,,
subscription_proposition_pricing_details_trial_weekly_price,then %@/week. ,then %@/week. ,danach %@ /Woche.,a potem %@/ tydzień.,depois %@/sem.,luego %@/sem.,"después, %@/sem.",,,,,
subscription_proposition_pricing_details_weekly_price,Join for only %@/month.,Join for only %@/week.,Treten Sie für nur %@ /Woche bei.,Dołącz za jedyne %@/ tydzień.,Assine por apenas %@/sem.,Únase por tan solo %@/sem.,Únete por solo %@/mes.,Bergabung dengan hanya %@/bulan.,Gå med för endast %@/månad.,,,
hurricane_tooltip_on,Hurricane tracker: ON,Hurricane tracker: ON,Orkan-Tracker: Ein,Monitor huraganu: Wł.,Rastreador de furacões: Ativado,Rastreador de huracanes: Sí,Rastreador de huracanes: Sí,,,,,
whats_new_hurricane_alert,Hurricane Alert,Hurricane Alert,Wirbelsturmwarnung,Ostrzeżenie o huraganie,Alerta de furacão,Alerta de Huracán,Alerta de huracán,Peringatan Badai,,,,
whats_new_hurricane_alert_storm_evan,Tropical Storm Evan is now a Category 1 Hurricane. Wind speed:  85 mph. Direction: EN.,Tropical Storm Evan is now a Category 1 Hurricane. Wind speed: 136 km/h. Direction: EN.,Tropensturm Evan ist jetzt ein Hurrikan der Kategorie 1. Windgeschwindigkeit: 129 km/h. Richtung: EN.,Burza tropikalna Evan to teraz huragan 1. kategorii. Prędkość wiatru: 129 km/h. Kierunek: NE.,A tempestade tropical Evan agora é um furacão de categoria 1. Velocidade do vento: 129 km/h. Direção: NE.,La tormenta tropical Evan es ahora un huracán de categoría 1. Velocidad del viento: 129 km/h. Dirección: EN.,La tormenta tropical Evan es ahora un huracán de categoría 1. Velocidad viento: 129 km/h. Dirección: EN.,,,,,
onboarding_notification_rain_title,Rain Alert,Rain Alert,Regen-Alarm,Alert – Deszcz,Alerta de Chuva,Lluvia Alerta,Alerta de Lluvia,Hujan,Regn,Дождь,Pluie,
onboarding_notification_rain_body,💦☔ Get ready! Light rain starts at 11:30 AM and ends at 12:30 AM. Tap for details.,💦☔ Get ready! Light rain starts at 11:30 and ends at 12:30. Tap for details.,💦☔ Mach dich bereit! Leichter Regen beginnt um 11.30 und endet um 12.30. Für Details tippen.,"💦☔ Przygotuj się! Lekki deszcz zacznie się o 11:30 i skończy o 12:30. Stuknij, aby zobaczyć szczegóły.",💦☔ Prepare-se! Uma chuva leve começa às 11h30 e termina às 12h30. Toque e veja os detalhes.,💦☔ ¡Prepárense! La lluvia ligera comienza a las 11:30 y termina a las 12:30. Toque para obtener más detalles.,💦☔ ¡Prepárate! Lluvia ligera desde las 11:30 y hasta las 12:30. Toca para info.,,,,,
,,,,,,,,,,,,
